"Url","Sold","Auction Date","Title","Distillery","Region","Strength","Distillery Status","Cask Type","Currency","Bulk Litres","Rla","Filling Date","Cask Filling","Previous Spirit","Regauged Date","Age","Bottles At Cask Strength","Buyer Price","Price Per Bottle At Cask Strength","Price Per Litre Of Alcohol","Country","Auction House"
"https://whiskyauctioneer.com/lot/1021-08/1-glen-garioch-2008-hogshead-3174-cask-storage-broxburn-bottlers",TRUE,"08/11/2021","Glen Garioch 2008 Hogshead","Glen Garioch","Highlands","53.9","Operational","Hogshead","Great Britain Pound (£)","210.7","113.57","01/01/2008",NA,NA,"27/10/2020","13.85","301","6300","18.6","55.47","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1021-09/1-glen-moray-2007-hogshead-800481-cask-storage-broxburn-bottlers",FALSE,"08/11/2021","Glen Moray 2007 Hogshead","Glen Moray","Speyside","57.7","Operational","Hogshead","Great Britain Pound (£)","173.6","100.17","04/05/2007",NA,NA,"28/07/2021","14.52","248","6975","25","69.63","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1021-10/1-bruichladdich-2012-fresh-bourbon-barrel-1894-cask-storage-bruichladdich-distillery",TRUE,"08/11/2021","Bruichladdich 2012 Fresh Bourbon Barrel","Bruichladdich","Islay","66.8","Operational","Barrel","Great Britain Pound (£)","168","112.22","13/06/2012","First Fill","Bourbon","28/04/2021","9.4","240","20250","75","180.45","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1021-11/1-tullibardine-2015-barrel-93-cask-storage-north-british-distillery",TRUE,"08/11/2021","Tullibardine 2015 Barrel","Tullibardine","Highlands","62.2","Operational","Barrel","Great Britain Pound (£)","186.66","116.1","01/01/2015",NA,NA,NA,"6.85","266.66","3375","11.25","29.07","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/1021-12/1-fettercairn-2008-bourbon-barrel-4621-cask-storage-whiskybroker",FALSE,"08/11/2021","Fettercairn 2008 Bourbon Barrel","Fettercairn","Highlands","57.4","Operational","Barrel","Great Britain Pound (£)","163.94","94.1","01/01/2008",NA,"Bourbon",NA,"13.85","234.2","9112.5","34.59","96.84","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-01/1-benriach-2013-hogshead-198-cask-storage-ben-nevis-distillery",TRUE,"04/10/2021","Benriach 2013 Hogshead","Benriach","Speyside","63.4","Operational","Hogshead","Great Britain Pound (£)","149.1","94.53","09/12/2013",NA,NA,NA,"7.82","213","5512.5","23","58.31","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-02/1-aultmore-2012-barrel-800974-cask-storage-beam-suntory",TRUE,"04/10/2021","Aultmore 2012 Barrel","Aultmore","Speyside","63.4","Operational","Barrel","Great Britain Pound (£)","125.2","79.38","29/05/2012",NA,NA,NA,"9.35","178.86","3825","19.01","48.19","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-03/1-craigellachie-2012-barrel-800676-cask-storage-beam-springburn",TRUE,"04/10/2021","Craigellachie 2012 Barrel","Craigellachie","Speyside","63.4","Operational","Barrel","Great Britain Pound (£)","128.5","81.47","31/10/2012",NA,NA,NA,"8.93","183.57","5062.5","24.51","62.14","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-04/1-bunnahabhain-2010-sherry-hogshead-901209-cask-storage-whiskybroker",TRUE,"04/10/2021","Bunnahabhain 2010 Sherry Hogshead","Bunnahabhain","Islay","67.3","Operational","Hogshead","Great Britain Pound (£)","229","154.12","11/11/2010",NA,"Sherry","08/07/2020","10.9","327.14","20812.5","56.55","135.04","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-05/1-crolly-irish-single-malt-2020-ex-bourbon-cask-200-litre-cask-storage-crolly-whiskey",NA,"04/10/2021","Crolly Irish Single Malt 2020 ex-Bourbon Cask 200 Litre","Crolly","Ireland",NA,"Operational",NA,"Great Britain Pound (£)","200",NA,NA,NA,"Bourbon",NA,NA,"285.71","6750","21",NA,"Ireland","WhiskyAuctioneer"
