"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_per_age","inf_adj_hammer_price_per_age"
"2021-03-24","Bonnington","Lowlands","Scotland","63.7",63.7,"222","Operational","Hogshead",NA,"Wine",0.65,317.14,95,65,28,2550.27,8.04,40.04,61.59,3923.49
"2022-04-27","Bruichladdich","Islay","Scotland","60.4",82.1,"135","Operational","Barrel",NA,"Bourbon",17.32,192.86,97,63,33,19646.25,101.87,239.3,13.82,1134.31
"2018-05-02","Bruichladdich","Islay","Scotland","42.6",42.6,"77.4","Operational","Hogshead",NA,NA,24.99,110.57,22,12,2,9361.53,84.67,219.75,8.79,374.61
"2024-08-07","Bruichladdich","Islay","Scotland","57.3",57.3,"145","Operational",NA,NA,NA,21.24,207.14,98,38,25,12672.38,61.18,221.16,10.41,596.63
"2025-01-08","Bruichladdich","Islay","Scotland","61.1",61.1,"149","Operational",NA,NA,NA,18.02,212.86,105,63,26,16381.46,76.96,268.11,14.88,909.07
"2025-02-19","Bruichladdich","Islay","Scotland","59.3",59.3,"142","Operational",NA,NA,NA,20.64,202.86,125,87,44,11488.24,56.63,193.73,9.39,556.6
"2017-08-02","Bruichladdich","Islay","Scotland","53.9",53.9,"162","Operational","Barrel","First Fill","Bourbon",13.59,231.43,5,5,5,12498.55,54.01,231.88,17.06,919.69
"2020-11-04","Girvan","Lowlands","Scotland","57.9",57.9,"107.9","Operational","Barrel","Virgin Oak",NA,30.84,154.14,56,38,26,3330.58,21.61,57.52,1.87,108
"2025-04-02","Glentauchers","Speyside","Scotland","60.4",60.4,"197.25","Operational",NA,NA,NA,16.71,281.79,134,67,41,4037.63,14.33,66.85,4,241.63
"2025-11-12","Hinch","Ireland","Ireland","61.3",61.3,"191.7","Operational",NA,NA,NA,NA,273.86,78,12,1,1000,3.65,16.31,NA,NA
"2018-01-03","Jura","Highlands","Scotland","49.6",49.6,"138.39","Operational","Hogshead",NA,NA,26.01,197.7,14,12,7,14831.9,75.02,299.03,11.5,570.24
"2018-01-03","Jura","Highlands","Scotland","47.4",47.4,"120.46","Operational","Hogshead",NA,NA,26.01,172.09,14,12,7,10422.41,60.56,219.88,8.45,400.71
